Timestamp,What School does your child attend?,My child or children have been attending this school for . . .,My child(ren) like(s) going to school.,My child's social-emotional needs are being met and (s)he feels safe at this school.,My child is encouraged to take positive academic risks at this school.,I feel welcome at my child's school.,My child's teachers communicate with me effectively.,This school communicates with me effectively.,I understand how to support my child's learning at home.,My school offers support to help me help my child's learning.,My child's school encourages me to actively engage in my child's education.,I'm aware of the traits my child's school is trying to develop in my child.,My child's school does things that help them develop these traits.,I see value in the way this school uses technology in teaching my child.,I believe my child's school experience is adequately preparing them for the real world.
1/31/2022 18:34:01,Canon Exploratory School (CES),One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Absolutely,No,I'm not sure,Sort of,Somewhat agree
1/31/2022 18:38:17,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat Disagree
1/31/2022 19:21:24,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 19:54:01,Canon Exploratory School (CES),Three to six years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Sort of,Strongly agree
1/31/2022 20:12:22,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,No,Strongly agree
1/31/2022 20:50:00,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
1/31/2022 21:08:42,Canon Exploratory School (CES),Three to six years,Yes,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
1/31/2022 21:10:22,Canon Exploratory School (CES),More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 23:15:12,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 23:16:02,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Strongly agree
2/1/2022 0:52:08,Canon Exploratory School (CES),Three to six years,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/1/2022 5:57:47,Canon Exploratory School (CES),Less than one year,Yes,I'm not sure,Yes,Often,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Strongly agree
2/1/2022 7:57:37,Canon Exploratory School (CES),More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 8:00:07,Canon Exploratory School (CES),Three to six years,No,Yes,Yes,Often,No,Not really,Yes,No,Rarely,Yes,Yes,Sort of,Somewhat Disagree
2/1/2022 8:36:11,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/1/2022 9:06:32,Canon Exploratory School (CES),More than six years,Yes,I'm not sure,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Yes,Somewhat agree
2/1/2022 11:08:26,Canon Exploratory School (CES),More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/1/2022 11:30:16,Canon Exploratory School (CES),One to three years,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 12:16:34,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 13:04:30,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 14:55:16,Canon Exploratory School (CES),Three to six years,I'm not sure,I'm not sure,Yes,Not often,No,Not really,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,No,I'm not sure,Sort of,Somewhat Disagree
2/1/2022 16:16:23,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 16:25:24,Canon Exploratory School (CES),One to three years,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 16:33:46,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Often,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/1/2022 16:45:21,Canon Exploratory School (CES),More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 16:52:30,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Often,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Sort of,Strongly agree
2/1/2022 17:02:27,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 17:10:52,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Often,No,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/1/2022 18:28:45,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 18:29:01,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Somewhat Disagree
2/1/2022 18:32:56,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Not often,Yes,Somewhat,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Somewhat agree
2/1/2022 18:40:06,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 19:15:30,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 19:29:19,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,I'm not sure,Yes,Somewhat agree
2/1/2022 20:07:16,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
